#{"t_start": 1677942312.2119825, "env_id": null}
r,l,t
584.97,23,0.029952
-151.15,24,0.049867
341.36,25,0.064826
-29.24,28,0.079788
340.16,23,0.092753
505.38,26,0.106719
-354.25,24,0.120678
673.23,29,0.140625
216.71,23,0.15359
-111.7,25,0.170543
-631.6,28,0.189493
393.12,25,0.205451
-220.07,28,0.220411
163.05,26,0.235376
390.31,25,0.248342
-165.77,31,0.265296
-779.71,27,0.279258
19.62,27,0.293221
-390.96,27,0.307184
49.11,25,0.320148
65.86,24,0.332116
-732.46,32,0.349103
-38.31,28,0.363066
30.28,26,0.375999
552.83,24,0.388965
-67.4,23,0.400932
-246.75,30,0.416891
-311.54,28,0.430853
424.16,30,0.446811
-203.15,25,0.459776
366.42,24,0.471744
260.43,24,0.484709
146.79,23,0.496677
-448.65,23,0.507648
96.26,29,0.523605
19.23,25,0.535573
-232.33,26,0.549536
-240.43,23,0.561504
