#{"t_start": 1677953427.991905, "env_id": null}
r,l,t
-72.4,23,0.020954
339.38,25,0.032888
127.77,24,0.044855
-62.74,24,0.05985
31.45,25,0.076771
-79.42,26,0.092727
-434.74,36,0.114671
-155.86,23,0.126637
-346.81,29,0.141597
132.06,24,0.153565
39.45,23,0.164535
89.0,26,0.182487
-65.08,25,0.194455
-100.99,23,0.209448
-435.66,27,0.222415
218.13,27,0.235376
453.78,26,0.248346
159.21,23,0.259315
108.23,27,0.27228
72.54,24,0.284248
535.83,25,0.296219
6.94,26,0.310147
305.37,27,0.323113
-550.4,25,0.335107
336.41,30,0.350073
186.23,32,0.365
424.78,28,0.378963
-118.25,29,0.39296
36.93,26,0.40493
-252.18,24,0.416893
-166.18,23,0.427864
381.27,29,0.441796
-21.11,25,0.453794
-334.45,29,0.467757
130.04,24,0.479725
84.03,24,0.490693
-128.05,23,0.501666
-9.88,24,0.513634
256.82,24,0.552498
245.06,24,0.5635
-267.58,26,0.576436
367.08,28,0.590429
-41.2,24,0.602404
213.59,25,0.614365
-20.12,24,0.626333
197.07,24,0.63827
689.28,26,0.651266
-198.41,28,0.665198
-51.23,25,0.677164
154.76,24,0.689132
259.93,25,0.702098
-29.48,29,0.71606
357.18,25,0.728028
499.69,36,0.745982
335.76,23,0.756952
182.29,23,0.768953
203.27,26,0.781919
229.18,25,0.793886
-165.59,24,0.805852
-206.2,25,0.818818
32.72,25,0.830755
-63.05,30,0.845713
382.12,24,0.857683
448.71,23,0.868654
9.68,26,0.881619
-453.66,23,0.892589
457.07,28,0.906552
166.42,25,0.919549
-257.81,25,0.931516
91.4,24,0.943485
156.77,25,0.955452
-239.45,25,0.968419
241.26,29,0.982383
-354.73,29,0.996343
56.46,25,1.009308
-424.34,23,1.021244
527.83,27,1.035208
147.39,28,1.061137
227.93,23,1.073105
545.14,29,2.27489
-235.78,24,2.287855
445.69,23,2.30481
25.87,24,2.316778
350.36,25,2.329743
329.59,26,2.346698
484.72,31,2.365649
278.15,24,2.380607
198.5,23,2.392575
408.7,27,2.406538
245.27,28,2.424491
-273.5,27,2.442442
752.08,23,2.461391
509.82,25,2.476352
-90.02,24,2.488353
-239.31,27,2.501319
16.86,24,2.512287
194.23,25,2.524255
211.72,23,2.535226
636.88,26,2.548191
-96.65,25,2.560129
321.81,24,2.572128
390.03,28,2.585092
-365.31,31,2.601018
689.26,24,2.61202
292.87,29,2.625987
564.87,25,2.637952
-78.12,25,2.650887
335.79,25,2.662884
293.5,23,2.673858
422.6,27,2.686821
434.03,24,2.698788
130.82,26,2.710756
151.3,24,2.722725
337.59,28,2.736691
-7.16,36,2.75464
369.23,25,2.766607
-103.1,29,2.794532
348.18,27,2.808495
375.13,23,2.819466
169.37,24,2.831403
288.19,29,2.846363
324.01,30,2.861323
11.26,25,2.873289
289.68,23,2.885257
94.38,25,2.897225
-110.49,25,2.910191
128.15,29,2.924153
-512.19,30,2.939113
192.35,25,2.951081
294.13,28,2.965045
-86.96,30,2.980006
-203.38,29,2.994996
77.84,23,3.005967
865.85,24,3.017904
270.04,32,3.033861
502.82,23,3.044832
549.97,26,3.058794
-233.98,29,3.072756
136.45,24,3.084723
47.65,26,3.09769
18.45,23,3.108662
-23.9,27,3.122624
69.66,26,3.135588
-2.21,25,3.147555
152.79,23,3.158526
840.57,30,3.176479
356.61,25,3.189475
275.47,25,3.201443
150.99,24,3.21338
-263.84,24,3.225385
140.75,28,3.239343
-381.92,25,3.251307
360.98,25,3.263279
2.97,34,3.280235
